orden_id,sucursal_id,cliente_id,sku,cantidad,precio,fecha_orden,fecha_envio,fecha_entrega,sucursal,sucursal_direccion,sucursal_estado,sucursal_telefono,cliente,cliente_direccion,cliente_estado,cliente_cp,email,cliente_telefono,metodo_pago,numero_tarjeta,nombre,escala,escala_min,escala_max,precio_escala,categoria_id,stock,marca,modelo,year,categoria
ORD99lA8w0xMR,C-50PO,C-05fD,i181F9,72,4520.84,2017-03-03,2017-03-06,2017-03-05,MOR-FNQ,Retorno Baja California 468 Interior 776,MOR,(883)475-5929x530,Elisa Isabela Rivas Otero,Corredor Chihuahua 594 Interior 939Nueva Ecuador,QRO,03766-5827,antoniosolano@hotmail.com,1-435-541-6818x6342,tarjeta,6510251134697068,Convertidor catalitico,51 - 75,51,75,4520.84,p-63G,5528,Audi,Sephia,2008,"Coupe, Sedan"
ORD99lA8w0xMR,C-50PO,C-05fD,i181F9,72,4520.84,2017-03-03,2017-03-06,2017-03-05,MOR-FNQ,Retorno Baja California 468 Interior 776,MOR,(883)475-5929x530,Elisa Isabela Rivas Otero,Corredor Chihuahua 594 Interior 939Nueva Ecuador,QRO,03766-5827,antoniosolano@hotmail.com,1-435-541-6818x6342,tarjeta,6510251134697068,Convertidor catalitico,26 - 50,26,50,4786.77,p-63G,5528,Audi,Sephia,2008,"Coupe, Sedan"
ORD99lA8w0xMR,C-50PO,C-05fD,i181F9,72,4520.84,2017-03-03,2017-03-06,2017-03-05,MOR-FNQ,Retorno Baja California 468 Interior 776,MOR,(883)475-5929x530,Elisa Isabela Rivas Otero,Corredor Chihuahua 594 Interior 939Nueva Ecuador,QRO,03766-5827,antoniosolano@hotmail.com,1-435-541-6818x6342,tarjeta,6510251134697068,Convertidor catalitico,1 - 25,1,25,5318.64,p-63G,5528,Audi,Sephia,2008,"Coupe, Sedan"
ORD99lA8w0xMR,C-50PO,C-05fD,u106N4,23,4848.85,2017-03-03,2017-03-06,2017-03-05,MOR-FNQ,Retorno Baja California 468 Interior 776,MOR,(883)475-5929x530,Elisa Isabela Rivas Otero,Corredor Chihuahua 594 Interior 939Nueva Ecuador,QRO,03766-5827,antoniosolano@hotmail.com,1-435-541-6818x6342,tarjeta,6510251134697068,Neumatico de repuesto,51 - 75,51,75,4121.52,P-54g,3132,Geo,Colorado Regular Cab,2017,"Convertible, Sedan"
ORD99lA8w0xMR,C-50PO,C-05fD,u106N4,23,4848.85,2017-03-03,2017-03-06,2017-03-05,MOR-FNQ,Retorno Baja California 468 Interior 776,MOR,(883)475-5929x530,Elisa Isabela Rivas Otero,Corredor Chihuahua 594 Interior 939Nueva Ecuador,QRO,03766-5827,antoniosolano@hotmail.com,1-435-541-6818x6342,tarjeta,6510251134697068,Neumatico de repuesto,26 - 50,26,50,4363.97,P-54g,3132,Geo,Colorado Regular Cab,2017,"Convertible, Sedan"
ORD99lA8w0xMR,C-50PO,C-05fD,u106N4,23,4848.85,2017-03-03,2017-03-06,2017-03-05,MOR-FNQ,Retorno Baja California 468 Interior 776,MOR,(883)475-5929x530,Elisa Isabela Rivas Otero,Corredor Chihuahua 594 Interior 939Nueva Ecuador,QRO,03766-5827,antoniosolano@hotmail.com,1-435-541-6818x6342,tarjeta,6510251134697068,Neumatico de repuesto,1 - 25,1,25,4848.85,P-54g,3132,Geo,Colorado Regular Cab,2017,"Convertible, Sedan"
ORD99lA8w0xMR,C-50PO,C-05fD,A461V6,6,5554.87,2017-03-03,2017-03-06,2017-03-05,MOR-FNQ,Retorno Baja California 468 Interior 776,MOR,(883)475-5929x530,Elisa Isabela Rivas Otero,Corredor Chihuahua 594 Interior 939Nueva Ecuador,QRO,03766-5827,antoniosolano@hotmail.com,1-435-541-6818x6342,tarjeta,6510251134697068,Inyector de combustible,51 - 75,51,75,4721.64,U-19r,9342,GMC,Savana 2500 Cargo,1995,"Wagon, Sedan"
ORD99lA8w0xMR,C-50PO,C-05fD,A461V6,6,5554.87,2017-03-03,2017-03-06,2017-03-05,MOR-FNQ,Retorno Baja California 468 Interior 776,MOR,(883)475-5929x530,Elisa Isabela Rivas Otero,Corredor Chihuahua 594 Interior 939Nueva Ecuador,QRO,03766-5827,antoniosolano@hotmail.com,1-435-541-6818x6342,tarjeta,6510251134697068,Inyector de combustible,26 - 50,26,50,4999.38,U-19r,9342,GMC,Savana 2500 Cargo,1995,"Wagon, Sedan"
ORD99lA8w0xMR,C-50PO,C-05fD,A461V6,6,5554.87,2017-03-03,2017-03-06,2017-03-05,MOR-FNQ,Retorno Baja California 468 Interior 776,MOR,(883)475-5929x530,Elisa Isabela Rivas Otero,Corredor Chihuahua 594 Interior 939Nueva Ecuador,QRO,03766-5827,antoniosolano@hotmail.com,1-435-541-6818x6342,tarjeta,6510251134697068,Inyector de combustible,1 - 25,1,25,5554.87,U-19r,9342,GMC,Savana 2500 Cargo,1995,"Wagon, Sedan"
ORD99lA8w0xMR,C-50PO,C-05fD,I715t6,72,4905.17,2017-03-03,2017-03-06,2017-03-05,MOR-FNQ,Retorno Baja California 468 Interior 776,MOR,(883)475-5929x530,Elisa Isabela Rivas Otero,Corredor Chihuahua 594 Interior 939Nueva Ecuador,QRO,03766-5827,antoniosolano@hotmail.com,1-435-541-6818x6342,tarjeta,6510251134697068,Transmision,51 - 75,51,75,4905.17,w-41e,6330,BMW,Mustang,2019,"Coupe, Sedan, Wagon"
